user_age,user_gender,user_caste,user_occupation,user_income,user_disability,user_is_bpl,user_land_owner,user_marital_status,user_state,user_education,scheme_id,scheme_min_age,scheme_max_age,scheme_max_income,scheme_gender,scheme_category,scheme_state,tfidf_score,category_match,relevant
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,1,20,31,99999999,All,Water & Sanitation,Maharashtra,0.28,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,2,14,20,99999999,All,Water & Sanitation,Maharashtra,0.09,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,3,-1,999,99999999,All,Water & Sanitation,Maharashtra,0.25,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,4,20,21,99999999,All,Water & Sanitation,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,5,23,31,99999999,All,Agriculture Credit,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,6,65,65,99999999,All,Social Security / Senior Citizen,Maharashtra,2.6,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,7,18,35,99999999,All,Skill Development / Training,Maharashtra,0.8,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,8,-1,999,99999999,All,Scholarship / Education,Maharashtra,1.14,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,9,-1,999,99999999,All,Scholarship / Education,Maharashtra,1.62,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,10,-1,999,99999999,All,Scholarship / Education,Maharashtra,0.98,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,11,-1,999,99999999,All,Social Welfare,Maharashtra,2.44,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,12,-1,999,99999999,All,Social Welfare,Maharashtra,0.52,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,13,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,14,-1,999,99999999,All,Health / De-addiction,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,15,-1,999,99999999,All,Health / De-addiction,Maharashtra,2.11,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,16,-1,999,99999999,All,Health / De-addiction,Maharashtra,4.54,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,17,-1,999,99999999,All,Health / De-addiction,Maharashtra,0.3,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,18,-1,999,99999999,All,Health / De-addiction,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,19,-1,999,99999999,All,Social Welfare,Maharashtra,0.88,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,20,-1,999,99999999,All,Housing,Maharashtra,1.47,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,21,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,22,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,23,-1,999,99999999,All,Social Welfare,Maharashtra,1.04,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,24,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,25,-1,999,99999999,All,Social Welfare,Maharashtra,0.42,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,26,-1,999,99999999,All,Social Welfare,Maharashtra,0.6,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,27,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,28,-1,999,99999999,All,Social Welfare,Maharashtra,0.52,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,29,-1,999,99999999,All,Social Welfare,Maharashtra,0.84,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,30,-1,999,99999999,All,Social Welfare,Maharashtra,0.39,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,31,-1,999,99999999,All,Social Welfare,Maharashtra,1.17,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,32,-1,999,99999999,All,Social Welfare,Maharashtra,0.39,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,33,-1,999,99999999,All,Social Welfare,Maharashtra,0.58,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,34,-1,999,99999999,All,Social Welfare,Maharashtra,0.49,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,35,-1,999,99999999,All,Scholarship / Education,Maharashtra,0.45,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,36,-1,999,99999999,All,Scholarship / Education,Maharashtra,0.89,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,37,-1,999,99999999,All,Social Welfare,Maharashtra,1.27,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,38,-1,999,99999999,All,Social Welfare,Maharashtra,2.4,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,39,-1,999,99999999,All,Social Welfare,Maharashtra,0.92,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,40,-1,999,99999999,All,Social Welfare,Maharashtra,0.55,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,41,-1,999,99999999,All,Scholarship / Education,Maharashtra,0.66,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,42,-1,999,99999999,All,Housing,Maharashtra,0.45,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,43,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,44,-1,999,99999999,All,Social Welfare,Maharashtra,2.06,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,45,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,46,-1,999,99999999,All,Social Welfare,Maharashtra,2.74,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,47,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,48,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,49,18,60,99999999,All,Social Welfare,Maharashtra,0.75,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,50,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,51,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,52,-1,999,99999999,All,Social Welfare,Maharashtra,0.42,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,53,-1,999,99999999,All,Social Welfare,Maharashtra,0.3,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,54,-1,999,99999999,All,Social Welfare,Maharashtra,0.0,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,55,-1,999,99999999,All,Social Welfare,Maharashtra,5.21,0.0,0
19,Male,SC,Self Employed,150000,1,1,0,Unmarried,Maharashtra,None,56,-1,999,99999999,All,Social Welfare,Maharashtra,1.38,0.0,0
